guests,bedrooms,beds,bathrooms,price
4,0,2,1,160
2,1,1,1,207
2,1,1,1,225
4,2,3,1,800
2,1,1,1,144
2,1,1,1,75
3,2,2,1,99
1,1,1,1,83
2,1,1,1,120
6,2,3,1,171
2,1,2,1,160
3,1,2,1,185
2,1,1,1,144
3,1,2,1,170
4,1,2,1,157
4,1,3,1,175
2,1,1,1,189
1,2,1,1,50
2,1,2,1,131
3,2,2,1,100
2,1,1,1,269
7,2,4,1,145
2,1,1,1,182
2,2,1,1,254
1,1,1,1,87
4,2,1,1,288
4,2,2,1,190
2,1,1,1,396
3,1,3,1,127
8,4,4,2,550
4,1,1,1,260
6,3,3,1,650
2,1,1,1,90
2,1,2,1,270
4,2,3,2,150
2,1,1,1,135
2,1,2,1,138
3,1,2,1,248
2,0,1,1,240
6,2,3,2,385
2,1,1,1,98
2,1,1,1,128
2,1,1,1,86
2,1,1,1,84
1,1,1,1,162
2,1,1,1,140
2,1,1,1,120
2,0,1,1,115
2,1,1,1,125
8,4,6,2,780
4,2,2,1,105
2,1,1,1,115
5,3,3,1,350
4,2,2,1,208
6,3,3,2,490
4,1,1,1,309
4,1,2,1,350
2,1,1,1,75
2,1,1,1,110
3,1,2,1,154
3,2,2,2,250
2,1,1,1,81
4,2,2,2,175
4,0,2,1,197
4,2,2,1,110
2,1,1,1,250
4,1,1,1,180
4,2,2,1,250
5,1,3,1,227
2,1,1,1,100
5,3,3,2,485
2,1,1,1,180
4,2,2,1,380
4,3,3,2,200
4,2,4,1,110
2,1,1,1,130
6,4,4,3,725
2,1,1,1,150
4,2,2,1,350
3,1,2,1,170
4,1,2,1,110
1,1,1,1,85
2,1,2,1,150
1,1,1,1,75
2,1,1,1,88
2,1,1,1,200
3,2,2,1,115
4,2,3,1,120
3,1,3,1,344
2,0,1,1,150
3,1,2,1,150
2,1,1,1,290
2,1,1,1,95
4,2,2,1,195
2,1,1,1,106
2,1,2,1,120
4,1,2,1,229
2,1,1,1,89
4,2,2,2,500
2,1,1,1,81
2,1,1,1,140
2,1,1,1,223
6,2,4,2,484
4,2,2,1,280
3,1,2,1,80
2,0,1,1,247
2,1,1,1,104
1,1,1,1,151
2,1,2,1,75
2,1,1,1,120
2,1,1,1,268
3,1,1,1,178
4,2,2,1,400
3,2,3,1,96
2,1,1,1,120
6,2,3,2,385
2,1,1,1,79
3,1,2,1,172
5,2,3,2,315
6,3,3,4,478
1,1,1,1,39
3,1,1,1,141
4,2,2,1,450
10,5,5,3,686
2,1,1,1,135
9,5,6,2,750
4,1,2,2,380
4,1,2,1,170
2,1,1,1,88
2,0,1,1,135
3,1,2,1,171
1,1,1,1,123
4,2,2,2,395
2,1,1,1,125
4,2,3,2,389
2,0,1,1,120
4,1,3,1,251
4,2,2,1,325
2,1,1,1,205
2,1,1,1,128
3,1,2,1,282
2,1,1,1,130
2,0,1,1,70
2,1,1,1,195
2,1,1,1,72
5,3,3,2,725
4,2,2,1,120
2,1,1,1,115
6,2,4,1,156
2,2,1,1,250
2,1,1,1,149
4,2,1,2,110
8,3,3,1,250
4,1,1,1,322
1,1,1,1,65
1,1,1,1,65
2,2,2,1,150
4,2,2,1,475
2,1,1,1,85
2,1,2,1,129
4,2,2,2,350
1,1,1,1,80
2,1,1,1,128
6,2,4,1,336
2,1,1,1,100
2,1,1,1,100
6,2,3,1,411
2,1,1,1,150
2,1,1,1,80
3,2,2,1,214
3,2,2,1,175
2,0,1,1,105
2,1,1,1,137
6,3,3,2,260
2,0,1,1,129
4,2,3,2,375
4,2,2,1,229
4,2,2,1,207
2,1,1,1,199
4,1,2,1,246
2,0,1,1,122
2,1,1,1,207
2,1,1,1,120
5,2,2,1,157
2,1,1,1,150
